@relation glass5
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.5113, 13.6892, 3.2014, 1.8115, 72.8116, 1.7574, 5.43, 1.1907, 0.0, negative
1.5171, 13.7225, 3.6818, 1.8115, 72.0612, 0.6396, 7.8833, 0.0, 0.0, negative
1.5132, 12.9977, 0.0, 3.0185, 70.7004, 6.21, 6.9256, 0.0, 0.0, negative
1.5176, 12.9977, 3.601, 1.3589, 72.9908, 0.5713, 8.3998, 0.0, 0.0561, negative
1.5184, 13.1373, 2.8422, 1.2787, 72.8508, 0.5527, 9.0669, 0.0, 0.0, negative
1.5179, 12.7317, 3.4304, 1.1888, 72.9516, 0.621, 8.7548, 0.0, 0.153, negative
1.5163, 13.3567, 3.5785, 1.4905, 72.722, 0.4471, 8.2061, 0.0, 0.0, negative
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5194, 13.789, 2.4111, 1.1888, 72.7612, 0.0, 9.7663, 0.0, 0.0, positive
1.5183, 14.4606, 2.2405, 1.6189, 72.3804, 0.0, 9.2606, 0.0, 0.0, positive
1.5185, 14.0883, 2.1911, 1.6607, 72.6716, 0.0, 9.3251, 0.0, 0.0, positive
1.513, 14.4008, 1.7421, 1.5387, 74.5476, 0.0, 7.5928, 0.0, 0.0, positive
1.5191, 14.0018, 2.3887, 1.5612, 72.3692, 0.0, 9.5726, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
