@relation shuttle-c0-vs-c4
@attribute A1 integer [36, 123]
@attribute A2 integer [-908, 1409]
@attribute A3 integer [74, 113]
@attribute A4 integer [-587, 2565]
@attribute A5 integer [-46, 436]
@attribute A6 integer [-898, 6339]
@attribute A7 integer [-18, 72]
@attribute A8 integer [-353, 130]
@attribute A9 integer [-356, 126]
@attribute Class {positive, negative}
@input A1,A2,A3,A4,A5,A6,A7,A8,A9
@output Class
@data
49.0, 0.0, 79.0, 0.0, 46.0, -5.0, 30.0, 32.0, 2.0, negative
48.0, 1.0, 81.0, -1.0, 46.0, 0.0, 33.0, 34.0, 2.0, negative
45.0, 0.0, 86.0, 0.0, 44.0, -10.0, 41.0, 42.0, 2.0, negative
37.0, 0.0, 79.0, 0.0, 26.0, -4.0, 42.0, 53.0, 12.0, negative
43.0, 0.0, 77.0, 10.0, 42.0, -34.0, 34.0, 36.0, 2.0, negative
44.0, 0.0, 79.0, -2.0, 44.0, 0.0, 35.0, 35.0, 0.0, negative
44.0, 4.0, 82.0, -7.0, 44.0, 1.0, 38.0, 38.0, 0.0, negative
37.0, 0.0, 76.0, 0.0, 34.0, 13.0, 39.0, 42.0, 4.0, negative
62.0, 0.0, 109.0, 0.0, 62.0, 23.0, 48.0, 47.0, 0.0, negative
49.0, -4.0, 107.0, -1.0, 50.0, 0.0, 58.0, 58.0, 0.0, negative
41.0, 1.0, 108.0, 0.0, 42.0, 10.0, 66.0, 66.0, 0.0, negative
43.0, 0.0, 86.0, 0.0, 44.0, 21.0, 43.0, 42.0, 0.0, negative
37.0, 0.0, 104.0, -2.0, 16.0, -14.0, 67.0, 89.0, 22.0, negative
66.0, 0.0, 109.0, 0.0, 68.0, 4.0, 43.0, 42.0, 0.0, negative
37.0, 2.0, 97.0, 0.0, 34.0, -2.0, 60.0, 64.0, 4.0, negative
56.0, 0.0, 89.0, 0.0, 56.0, 0.0, 33.0, 32.0, 0.0, negative
37.0, 0.0, 81.0, 5.0, 34.0, 1.0, 43.0, 47.0, 4.0, negative
37.0, 0.0, 78.0, -4.0, 28.0, 0.0, 41.0, 50.0, 8.0, negative
57.0, 0.0, 82.0, 5.0, 56.0, 0.0, 25.0, 25.0, 0.0, negative
56.0, 0.0, 95.0, 0.0, 54.0, 1.0, 39.0, 41.0, 2.0, negative
54.0, 1.0, 82.0, 0.0, 54.0, 0.0, 28.0, 28.0, 0.0, negative
37.0, 0.0, 106.0, 0.0, 24.0, -13.0, 68.0, 82.0, 14.0, negative
37.0, 0.0, 95.0, 0.0, 10.0, 14.0, 58.0, 84.0, 26.0, negative
37.0, 0.0, 77.0, 0.0, 38.0, 4.0, 39.0, 38.0, 0.0, negative
48.0, 0.0, 95.0, 0.0, 46.0, 0.0, 47.0, 49.0, 2.0, negative
54.0, -2.0, 78.0, -1.0, 54.0, 0.0, 24.0, 24.0, 0.0, negative
45.0, 0.0, 93.0, 0.0, 44.0, -4.0, 48.0, 50.0, 2.0, negative
53.0, 1.0, 78.0, 0.0, 52.0, -7.0, 25.0, 26.0, 2.0, negative
49.0, 0.0, 88.0, 1.0, 50.0, 19.0, 40.0, 39.0, 0.0, negative
49.0, 0.0, 88.0, 0.0, 46.0, -6.0, 39.0, 41.0, 2.0, negative
43.0, 0.0, 81.0, -5.0, 42.0, -1.0, 37.0, 39.0, 2.0, negative
51.0, -2.0, 87.0, 0.0, 50.0, -13.0, 36.0, 38.0, 2.0, negative
56.0, 4.0, 91.0, 0.0, 56.0, 6.0, 35.0, 34.0, 0.0, negative
37.0, 0.0, 104.0, -1.0, 16.0, -5.0, 67.0, 88.0, 22.0, negative
37.0, 0.0, 78.0, 0.0, 2.0, 11.0, 42.0, 75.0, 34.0, negative
41.0, 0.0, 88.0, 0.0, 42.0, 1.0, 47.0, 47.0, 0.0, negative
44.0, 1.0, 108.0, 0.0, 44.0, 3.0, 64.0, 64.0, 0.0, negative
37.0, 0.0, 100.0, 0.0, 30.0, -3.0, 64.0, 69.0, 6.0, negative
46.0, 4.0, 87.0, 0.0, 44.0, -19.0, 41.0, 43.0, 2.0, negative
42.0, -1.0, 87.0, 0.0, 42.0, 0.0, 45.0, 46.0, 2.0, negative
37.0, 0.0, 83.0, 0.0, 0.0, 3.0, 46.0, 83.0, 36.0, negative
46.0, 0.0, 81.0, 1.0, 46.0, 8.0, 35.0, 35.0, 0.0, negative
44.0, 2.0, 88.0, 0.0, 44.0, 12.0, 44.0, 44.0, 0.0, negative
41.0, 3.0, 76.0, 0.0, 42.0, 13.0, 35.0, 35.0, 0.0, negative
37.0, 0.0, 82.0, -3.0, 8.0, 0.0, 45.0, 74.0, 30.0, negative
37.0, 0.0, 80.0, 0.0, 10.0, 29.0, 43.0, 70.0, 26.0, negative
38.0, 1.0, 76.0, 0.0, 38.0, 11.0, 38.0, 37.0, 0.0, negative
50.0, 0.0, 78.0, -6.0, 50.0, 0.0, 29.0, 29.0, 0.0, negative
46.0, 0.0, 100.0, 0.0, 44.0, -11.0, 54.0, 56.0, 2.0, negative
40.0, 0.0, 80.0, 0.0, 38.0, 2.0, 40.0, 41.0, 2.0, negative
47.0, 5.0, 84.0, 0.0, 46.0, 0.0, 37.0, 38.0, 0.0, negative
43.0, 5.0, 90.0, 0.0, 42.0, 0.0, 47.0, 49.0, 2.0, negative
43.0, 0.0, 78.0, 0.0, 42.0, -1.0, 35.0, 37.0, 2.0, negative
45.0, 0.0, 81.0, 0.0, 46.0, 5.0, 36.0, 35.0, 0.0, negative
37.0, 0.0, 77.0, 7.0, 16.0, 7.0, 40.0, 61.0, 22.0, negative
45.0, 0.0, 86.0, 7.0, 44.0, 0.0, 42.0, 42.0, 0.0, negative
41.0, -1.0, 76.0, 0.0, 38.0, -14.0, 35.0, 37.0, 2.0, negative
45.0, 1.0, 76.0, -2.0, 44.0, -4.0, 31.0, 32.0, 0.0, negative
56.0, 0.0, 86.0, 0.0, 54.0, -30.0, 30.0, 32.0, 2.0, negative
37.0, 0.0, 77.0, -1.0, 20.0, -4.0, 40.0, 56.0, 16.0, negative
44.0, 0.0, 82.0, -5.0, 44.0, -1.0, 38.0, 38.0, 0.0, negative
38.0, 0.0, 82.0, 0.0, 38.0, 11.0, 44.0, 43.0, 0.0, negative
39.0, 0.0, 106.0, 6.0, 38.0, 0.0, 68.0, 67.0, 0.0, negative
42.0, -3.0, 86.0, 0.0, 42.0, 0.0, 45.0, 45.0, 0.0, negative
37.0, 0.0, 100.0, 0.0, 30.0, -11.0, 64.0, 69.0, 6.0, negative
48.0, -4.0, 84.0, 0.0, 46.0, -1.0, 36.0, 38.0, 2.0, negative
57.0, 0.0, 88.0, 0.0, 56.0, 0.0, 31.0, 31.0, 0.0, negative
37.0, 0.0, 83.0, 0.0, 8.0, 14.0, 46.0, 75.0, 30.0, negative
37.0, 0.0, 104.0, 0.0, 18.0, 21.0, 67.0, 86.0, 18.0, negative
44.0, 0.0, 85.0, 0.0, 44.0, 16.0, 41.0, 41.0, 0.0, negative
38.0, -5.0, 97.0, 0.0, 38.0, 0.0, 59.0, 59.0, 0.0, negative
41.0, 0.0, 77.0, 0.0, 38.0, -1.0, 37.0, 39.0, 2.0, negative
45.0, 0.0, 88.0, 0.0, 44.0, -6.0, 42.0, 44.0, 2.0, negative
53.0, 0.0, 108.0, 0.0, 52.0, -7.0, 55.0, 56.0, 2.0, negative
51.0, 4.0, 79.0, 0.0, 52.0, 14.0, 27.0, 27.0, 0.0, negative
39.0, 0.0, 76.0, -2.0, 38.0, 0.0, 36.0, 37.0, 0.0, negative
36.0, -5.0, 81.0, 0.0, 36.0, 0.0, 45.0, 45.0, 0.0, negative
56.0, 1.0, 86.0, 0.0, 54.0, -8.0, 31.0, 32.0, 2.0, negative
58.0, 2.0, 86.0, 0.0, 56.0, 0.0, 28.0, 29.0, 2.0, negative
37.0, 0.0, 106.0, 0.0, 34.0, -1.0, 69.0, 72.0, 4.0, negative
44.0, -8.0, 88.0, 0.0, 44.0, 0.0, 44.0, 44.0, 0.0, negative
43.0, 0.0, 77.0, -2.0, 42.0, 0.0, 34.0, 35.0, 2.0, negative
37.0, 0.0, 83.0, 0.0, 8.0, 19.0, 47.0, 75.0, 28.0, negative
45.0, 0.0, 81.0, 0.0, 46.0, 19.0, 36.0, 35.0, 0.0, negative
59.0, 0.0, 87.0, 0.0, 60.0, 18.0, 28.0, 28.0, 0.0, negative
37.0, 0.0, 82.0, 0.0, 26.0, -15.0, 45.0, 56.0, 10.0, negative
56.0, -5.0, 107.0, 0.0, 56.0, 3.0, 51.0, 50.0, 0.0, negative
37.0, 0.0, 80.0, 4.0, 28.0, 0.0, 43.0, 52.0, 8.0, negative
49.0, 3.0, 88.0, 0.0, 50.0, 0.0, 39.0, 39.0, 0.0, negative
42.0, 5.0, 102.0, 0.0, 42.0, 0.0, 60.0, 60.0, 0.0, negative
43.0, 0.0, 108.0, 0.0, 42.0, -2.0, 64.0, 66.0, 2.0, negative
55.0, -3.0, 90.0, 0.0, 54.0, -12.0, 34.0, 35.0, 2.0, negative
