@relation shuttle-c0-vs-c4
@attribute A1 integer [36, 123]
@attribute A2 integer [-908, 1409]
@attribute A3 integer [74, 113]
@attribute A4 integer [-587, 2565]
@attribute A5 integer [-46, 436]
@attribute A6 integer [-898, 6339]
@attribute A7 integer [-18, 72]
@attribute A8 integer [-353, 130]
@attribute A9 integer [-356, 126]
@attribute Class {positive, negative}
@input A1,A2,A3,A4,A5,A6,A7,A8,A9
@output Class
@data
49.0, 0.0, 79.0, 0.0, 46.0, -5.0, 30.0, 32.0, 2.0, negative
41.0, 1.0, 86.0, 3.0, 42.0, 6.0, 45.0, 45.0, 0.0, negative
50.0, -4.0, 83.0, 0.0, 50.0, 0.0, 33.0, 34.0, 2.0, negative
48.0, 1.0, 81.0, -1.0, 46.0, 0.0, 33.0, 34.0, 2.0, negative
45.0, 0.0, 86.0, 0.0, 44.0, -10.0, 41.0, 42.0, 2.0, negative
37.0, 0.0, 79.0, 0.0, 26.0, -4.0, 42.0, 53.0, 12.0, negative
37.0, 0.0, 81.0, 0.0, 38.0, 7.0, 43.0, 42.0, 0.0, negative
43.0, 0.0, 81.0, 0.0, 42.0, -10.0, 37.0, 39.0, 2.0, negative
43.0, 0.0, 77.0, 10.0, 42.0, -34.0, 34.0, 36.0, 2.0, negative
44.0, 0.0, 79.0, -2.0, 44.0, 0.0, 35.0, 35.0, 0.0, negative
44.0, 4.0, 82.0, -7.0, 44.0, 1.0, 38.0, 38.0, 0.0, negative
37.0, 0.0, 76.0, 0.0, 34.0, 13.0, 39.0, 42.0, 4.0, negative
41.0, 1.0, 108.0, 0.0, 42.0, 10.0, 66.0, 66.0, 0.0, negative
43.0, 0.0, 86.0, 0.0, 44.0, 21.0, 43.0, 42.0, 0.0, negative
45.0, -4.0, 81.0, 1.0, 44.0, -21.0, 36.0, 37.0, 2.0, negative
37.0, 0.0, 104.0, -2.0, 16.0, -14.0, 67.0, 89.0, 22.0, negative
49.0, -1.0, 86.0, 0.0, 50.0, 4.0, 37.0, 37.0, 0.0, negative
66.0, 0.0, 109.0, 0.0, 68.0, 4.0, 43.0, 42.0, 0.0, negative
37.0, 2.0, 97.0, 0.0, 34.0, -2.0, 60.0, 64.0, 4.0, negative
56.0, 0.0, 89.0, 0.0, 56.0, 0.0, 33.0, 32.0, 0.0, negative
50.0, 0.0, 110.0, 1.0, 50.0, 0.0, 60.0, 61.0, 2.0, negative
37.0, 0.0, 81.0, 5.0, 34.0, 1.0, 43.0, 47.0, 4.0, negative
44.0, 1.0, 86.0, 0.0, 44.0, 22.0, 42.0, 42.0, 0.0, negative
57.0, 0.0, 82.0, 5.0, 56.0, 0.0, 25.0, 25.0, 0.0, negative
56.0, 0.0, 95.0, 0.0, 54.0, 1.0, 39.0, 41.0, 2.0, negative
37.0, 0.0, 106.0, 0.0, 24.0, -2.0, 69.0, 83.0, 14.0, negative
37.0, 0.0, 106.0, 0.0, 24.0, -13.0, 68.0, 82.0, 14.0, negative
37.0, 0.0, 76.0, 0.0, 34.0, 19.0, 39.0, 43.0, 4.0, negative
37.0, 0.0, 95.0, 0.0, 10.0, 14.0, 58.0, 84.0, 26.0, negative
37.0, 0.0, 77.0, 0.0, 38.0, 4.0, 39.0, 38.0, 0.0, negative
45.0, 0.0, 106.0, 0.0, 46.0, 14.0, 61.0, 60.0, 0.0, negative
48.0, 0.0, 95.0, 0.0, 46.0, 0.0, 47.0, 49.0, 2.0, negative
54.0, -2.0, 78.0, -1.0, 54.0, 0.0, 24.0, 24.0, 0.0, negative
45.0, 0.0, 93.0, 0.0, 44.0, -4.0, 48.0, 50.0, 2.0, negative
49.0, 0.0, 88.0, 1.0, 50.0, 19.0, 40.0, 39.0, 0.0, negative
49.0, 0.0, 88.0, 0.0, 46.0, -6.0, 39.0, 41.0, 2.0, negative
43.0, 0.0, 81.0, -5.0, 42.0, -1.0, 37.0, 39.0, 2.0, negative
51.0, -2.0, 87.0, 0.0, 50.0, -13.0, 36.0, 38.0, 2.0, negative
56.0, 4.0, 91.0, 0.0, 56.0, 6.0, 35.0, 34.0, 0.0, negative
37.0, 0.0, 104.0, -1.0, 16.0, -5.0, 67.0, 88.0, 22.0, negative
37.0, 0.0, 78.0, 0.0, 2.0, 11.0, 42.0, 75.0, 34.0, negative
41.0, 0.0, 88.0, 0.0, 42.0, 1.0, 47.0, 47.0, 0.0, negative
37.0, 0.0, 100.0, 0.0, 30.0, -3.0, 64.0, 69.0, 6.0, negative
42.0, -1.0, 87.0, 0.0, 42.0, 0.0, 45.0, 46.0, 2.0, negative
46.0, 0.0, 81.0, 1.0, 46.0, 8.0, 35.0, 35.0, 0.0, negative
37.0, 0.0, 81.0, 3.0, 34.0, 1.0, 43.0, 47.0, 4.0, negative
44.0, 0.0, 86.0, -1.0, 44.0, 8.0, 42.0, 42.0, 0.0, negative
37.0, 0.0, 80.0, 0.0, 10.0, 29.0, 43.0, 70.0, 26.0, negative
44.0, 3.0, 77.0, 0.0, 44.0, 23.0, 33.0, 33.0, 0.0, negative
38.0, 1.0, 76.0, 0.0, 38.0, 11.0, 38.0, 37.0, 0.0, negative
50.0, 0.0, 78.0, -6.0, 50.0, 0.0, 29.0, 29.0, 0.0, negative
46.0, 0.0, 100.0, 0.0, 44.0, -11.0, 54.0, 56.0, 2.0, negative
