Mcg,Gvh,Alm,Mit,Erl,Pox,Vac,Nuc,Class
0.74,0.8077968765668591,0.4676269521457131,0.2445761712874278,0.5,0.0,0.4830507808582852,0.22,positive
0.37,0.42,0.6,0.13,0.5,0.0,0.51,0.22,negative
0.4495325338331645,0.4555893849672407,0.5706910947328605,0.2058130135332657,0.5,0.0,0.3916260270665316,0.22,positive
0.52,0.46,0.56,0.25,0.5,0.0,0.52,0.22,negative
0.23,0.34,0.41,0.28,0.5,0.0,0.5,0.27,negative
0.88,0.75,0.41,0.36,0.5,0.0,0.43,0.22,negative
0.54,0.64,0.5,0.13,0.5,0.0,0.49,0.22,negative
0.39,0.44,0.28,0.12,0.5,0.0,0.46,0.27,negative
0.53,0.68,0.42,0.19,0.5,0.0,0.53,0.22,negative
0.27,0.36,0.6,0.33,0.5,0.0,0.37,0.31,negative
0.7289013919033525,0.731121113522682,0.5122197216193295,0.2899774945739655,0.5,0.0,0.491121113522682,0.22,positive
0.7300696847152883,0.7400696847152883,0.5309280958314423,0.3563573013895192,0.5,0.0,0.4454292055580769,0.22,positive
0.7531576215372858,0.7647364323059288,0.58,0.2215788107686429,0.5,0.0,0.4884211892313571,0.22,positive
0.91,0.69,0.57,0.45,0.5,0.0,0.56,0.22,negative
0.7427774743160693,0.7455549486321387,0.5294423202124854,0.2561126284196533,0.5,0.0,0.4972225256839306,0.22,positive
0.31,0.44,0.53,0.23,0.5,0.0,0.51,0.32,negative
0.7463268663863545,0.7473813441174136,0.5142179109242364,0.2784358218484727,0.5,0.0,0.4915641781515273,0.22,positive
0.35,0.36,0.57,0.17,0.5,0.0,0.52,0.22,negative
0.7482928627391889,0.8158535686304055,0.4558535686304055,0.2413821437898648,0.5,0.0,0.5027642875797297,0.2975607058912165,positive
0.7830547660021215,0.79,0.5147261699893925,0.2387031773347476,0.5,0.0,0.4974063546694953,0.22,positive
0.7730534741786121,0.7830534741786122,0.5140712989048162,0.2871247730834282,0.5,0.0,0.3391604225358363,0.22,positive
0.48,0.51,0.5,0.24,0.5,0.0,0.54,0.38,negative
0.8040767138331577,0.7970383569165789,0.4759232861668422,0.336794523055263,0.5,0.0,0.369756166138684,0.2427178092221051,positive
0.6,0.61,0.54,0.11,0.5,0.0,0.46,0.22,negative
0.66,0.43,0.57,0.6,0.5,0.0,0.19,0.33,negative
0.7497792002981797,0.8151103998509102,0.4551103998509102,0.2416298667163632,0.5,0.0,0.4865194668654531,0.22,positive
0.4866154665588664,0.6200989332909832,0.4764175999769,0.2365165332678832,0.5,0.0,0.3873626666281666,0.22,positive
0.8057447311317991,0.8244683867907947,0.4529789245271964,0.3189367735815894,0.5,0.0,0.5429789245271965,0.22,positive
0.72,0.58,0.42,0.28,0.5,0.0,0.48,0.22,negative
0.7213345341860123,0.6811992794883927,0.4886654658139876,0.347466186325595,0.5,0.0,0.4349323726511901,0.22,positive
0.77,0.7697012594635149,0.5058805037854059,0.3170754659313467,0.5,0.0,0.3402987405364852,0.22,positive
0.7652418468412078,0.7625534384177619,0.503655795788277,0.2895163063175844,0.5,0.0,0.3442744594763766,0.22,positive
0.33,0.44,0.49,0.08,0.5,0.0,0.48,0.49,negative
0.749953679769954,0.759907359539908,0.5796757583896778,0.2202316011502301,0.5,0.0,0.490046320230046,0.22,positive
0.7238786819588597,0.7127045057345723,0.5072954942654276,0.4023483524485746,0.5,0.0,0.4261213180411403,0.22,positive
0.46,0.44,0.53,0.31,0.5,0.0,0.48,0.22,negative
0.7534836649887048,0.7652254974830571,0.58,0.2217418324943523,0.5,0.0,0.4882581675056476,0.22,positive
