@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
0.268, 1.352, 1.035, -0.332, 0.217, 0
1.567, 0.867, 1.3, 1.041, 0.559, 0
0.279, 0.99, 2.555, -0.738, 0.0, 0
0.307, 1.272, 2.656, -0.946, -0.467, 0
0.96, 0.712, -0.143, 0.091, -0.061, 0
2.941, 0.657, 1.493, -0.331, -0.123, 0
0.229, 1.748, 0.634, 0.259, 0.0, 0
0.303, 0.609, 0.474, 1.427, -0.811, 1
0.318, 0.811, 0.818, 0.821, 0.86, 1
0.655, 1.054, 1.372, -0.724, 1.77, 1
0.105, 0.576, 0.342, 0.83, 0.0, 1
0.541, 2.145, -0.562, -0.228, -0.141, 1
1.404, 1.531, 0.476, 1.601, -0.424, 0
0.532, 1.963, -0.355, 0.191, -0.122, 0
0.108, 0.464, 1.302, 1.08, -0.349, 0
0.807, 2.227, -0.556, -0.225, 0.161, 0
1.039, 2.271, 1.699, -0.369, -0.168, 1
0.533, 2.581, -0.595, -0.227, -0.123, 0
0.151, 0.642, 1.454, 1.281, -0.716, 1
0.533, 2.139, 0.629, 0.241, -0.1, 0
0.6, 1.405, 2.477, -0.701, -0.272, 1
0.699, 2.295, 0.67, 0.403, -0.391, 0
0.619, 2.238, -0.417, -0.184, -0.125, 0
0.111, 0.299, 0.404, 0.694, 0.0, 0
0.648, 2.479, 1.064, -0.317, 0.0, 0
1.669, 2.226, 0.545, 0.229, -0.139, 0
0.416, 1.689, 0.756, -0.252, -0.145, 0
0.06, 0.225, 0.119, 0.264, 0.912, 0
0.492, 2.604, -0.594, 0.313, -0.147, 0
1.312, 2.591, 0.874, 0.534, -0.175, 0
0.121, 0.311, 0.588, 1.978, -0.652, 0
0.626, 2.317, 0.766, 0.411, -0.305, 0
0.96, 1.09, 0.513, 1.114, 0.729, 1
0.48, 1.502, 2.495, -0.692, 0.402, 1
3.386, -0.301, 0.136, -0.078, -0.055, 0
1.089, 1.423, -0.387, -0.123, 0.09, 0
0.27, 0.959, 1.687, 1.705, 0.0, 0
2.571, -0.235, 0.201, 0.137, -0.133, 0
0.912, 2.285, -0.449, -0.159, -0.099, 0
0.874, 3.03, -0.496, 0.243, 0.48, 0
0.362, 0.688, 1.513, 0.699, 0.52, 1
0.466, 2.279, 1.825, 0.778, -0.253, 0
0.155, 0.514, 0.49, -0.625, 0.0, 0
0.311, 1.493, 0.423, 0.304, -0.113, 0
1.712, 1.764, 0.375, 0.511, 0.589, 0
1.055, 1.185, 0.293, 0.182, -0.141, 0
0.577, 3.348, -0.621, -0.245, 0.0, 0
0.266, 0.711, 1.002, 1.138, 0.536, 1
0.273, 2.018, 1.768, 0.697, 0.0, 0
0.423, 1.781, -0.696, 0.491, 1.106, 0
0.105, 0.594, 0.326, -0.808, 0.0, 1
3.084, 0.782, -0.166, -0.088, -0.061, 0
0.82, 2.083, 0.492, 0.283, -0.19, 0
0.464, 1.792, 2.176, -0.517, -0.327, 0
1.093, 1.692, 0.445, -0.312, 1.608, 0
0.734, 0.647, 1.387, 0.556, 0.451, 1
-0.073, -0.25, -0.445, 1.539, -1.184, 1
0.268, 2.164, 0.991, 0.63, 0.0, 0
0.141, 0.64, 0.922, 1.899, 0.0, 1
0.482, 0.917, 1.435, -0.835, -0.762, 1
1.168, 2.156, -0.289, -0.122, 0.109, 0
0.165, 1.031, 1.947, -0.544, -0.228, 0
1.607, 2.312, -0.381, 0.222, 0.163, 0
0.856, 1.875, 1.186, 0.366, 0.0, 0
0.255, 3.145, -0.507, 1.274, -0.385, 0
0.556, 3.451, -0.597, -0.245, -0.153, 0
0.148, 0.777, 1.533, 1.672, 0.0, 0
0.58, 1.755, 1.087, 0.334, 0.0, 0
0.371, 2.324, -0.456, -0.168, -0.083, 0
0.081, 0.309, 0.445, -0.697, 1.824, 0
0.443, 0.705, 0.759, 1.27, 0.92, 1
0.887, 2.167, 0.646, 0.475, 1.125, 0
0.832, 2.711, -0.639, 0.381, 0.0, 0
3.177, -0.275, -0.111, 0.09, -0.074, 0
0.341, 1.007, 2.908, -0.772, 0.391, 0
1.901, 0.502, 0.188, 0.151, -0.152, 0
0.42, 2.394, 1.358, 0.675, 0.0, 0
0.487, 2.467, -0.428, -0.213, -0.121, 0
0.12, 0.443, 0.325, -0.318, 0.904, 1
0.328, 1.09, 2.044, 1.063, 1.043, 1
1.197, 1.397, 0.353, 0.184, 0.119, 0
0.137, 0.519, 0.76, 1.611, 0.0, 1
0.693, 1.713, -0.478, -0.221, -0.156, 0
0.18, 0.836, 2.024, 1.056, 0.0, 0
1.371, 1.441, -0.287, 0.167, -0.171, 0
0.64, 2.462, 1.133, -0.335, 0.0, 0
0.53, 1.273, 1.002, 0.733, -0.692, 1
0.424, 0.745, 0.766, 1.225, 1.068, 1
0.508, 2.937, -0.498, 0.263, -0.159, 0
1.956, 1.328, 0.82, 0.451, -0.256, 0
0.352, 1.828, -0.377, -0.165, 0.0, 0
1.831, 2.751, -0.372, -0.169, -0.099, 0
0.269, 1.13, 2.209, -0.786, -0.323, 0
2.389, 0.639, -0.107, 0.13, -0.053, 0
0.302, 0.581, 2.031, 1.122, 1.408, 1
1.195, -0.837, -0.266, 0.144, -0.086, 0
0.238, 0.475, 1.232, 1.637, 0.785, 0
0.35, 0.585, 0.907, 2.188, 1.632, 1
0.551, 2.308, -0.517, -0.189, -0.122, 0
0.721, 0.502, 0.871, 2.022, -0.563, 0
0.861, 1.811, -0.291, 0.212, -0.256, 0
3.698, 0.437, -0.109, -0.082, -0.042, 0
1.118, 2.528, -0.347, -0.151, 0.189, 0
0.089, 0.616, 1.451, 1.569, 0.0, 0
0.15, 1.057, 0.645, 1.318, 1.157, 1
0.079, 0.274, 0.403, 1.157, 1.638, 0
0.515, 0.457, 1.714, 1.058, -0.36, 1
0.289, 0.832, 1.765, 0.835, 0.489, 0
0.226, 0.807, 2.147, -0.703, 0.395, 0
0.812, 0.762, 2.242, -0.792, 0.405, 0
0.252, 2.498, -0.53, 0.347, -0.137, 0
0.398, 1.547, 1.228, 0.466, -0.268, 0
1.271, 1.743, -0.315, -0.404, 1.494, 0
1.235, 1.996, -0.359, 0.21, 0.141, 0
3.307, 0.503, -0.171, -0.156, 0.598, 0
0.336, 0.875, 2.576, 1.339, -0.557, 0
0.87, 2.27, 1.651, 0.636, -0.192, 1
0.41, 1.009, 2.024, -0.555, -0.271, 0
2.075, 2.142, 0.539, 0.457, 0.301, 0
0.209, 0.463, 0.654, 1.13, 0.0, 1
3.052, -0.233, 0.162, -0.078, -0.071, 0
0.338, 0.477, 1.821, 1.191, 0.997, 0
0.287, 0.531, 0.696, 1.883, 0.0, 1
0.207, 0.532, 0.667, 1.25, 2.511, 0
3.279, 0.547, 0.317, 0.463, 0.166, 0
1.115, 0.331, 1.24, 2.039, 1.045, 1
1.312, 1.232, 0.433, 0.375, -0.391, 0
0.272, 1.776, 1.417, 0.504, -0.241, 0
1.0, 1.739, 0.89, 0.369, -0.599, 0
0.772, 2.995, 0.945, -0.321, 0.204, 0
0.096, 0.433, 0.631, 2.096, -0.896, 1
0.324, 0.917, 1.098, 2.418, -0.86, 1
1.658, 1.367, -0.202, 0.14, 0.133, 0
0.131, 0.5, 1.297, 1.7, -0.536, 0
-0.105, 0.697, 1.461, 0.0, 0.0, 1
0.583, 3.025, 0.989, -0.302, -0.153, 0
0.267, 0.727, 0.677, 1.807, 1.49, 0
0.73, 2.928, -0.496, -0.189, -0.133, 0
0.258, 1.379, 1.885, 0.799, 0.0, 0
2.095, 0.869, -0.134, 0.102, 0.103, 0
0.79, 2.192, -0.436, 0.264, -0.166, 0
1.923, 0.966, 0.365, 0.301, 1.151, 0
0.229, 0.452, 0.523, 1.47, 1.046, 0
0.565, 3.345, -0.606, 0.751, -0.27, 0
0.453, 0.577, 1.37, 1.883, -0.557, 0
1.142, 1.867, -0.351, -0.161, -0.11, 0
0.181, 0.479, 1.833, -0.925, -0.387, 1
0.538, 1.064, 1.516, -0.309, 0.187, 0
1.328, 1.955, -0.489, 0.2, 0.256, 0
0.144, 0.858, 2.303, -0.718, -0.535, 0
-0.145, 1.424, 1.738, -0.798, 0.0, 0
0.303, 1.426, 0.978, 0.327, 0.157, 0
0.276, 1.107, 2.229, 1.18, 0.0, 0
0.388, 2.567, -0.429, -0.26, -0.127, 0
0.106, 0.772, 0.327, 1.13, 0.969, 1
-0.115, 0.697, 1.321, 1.713, 0.0, 1
0.251, 1.067, 0.443, 0.472, 0.444, 0
1.247, 2.31, -0.321, -0.157, 0.245, 0
0.232, 1.298, 1.482, -0.482, -0.259, 0
0.614, 2.482, 1.234, 0.553, -0.184, 0
1.314, 2.129, -0.441, 0.434, 1.019, 0
0.486, 1.117, 0.534, -0.587, 1.164, 1
0.249, 1.039, 3.199, -0.81, -0.372, 0
