@relation glass5
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.5159, 12.878, 3.4304, 1.4007, 73.282, 0.6893, 8.0447, 0.0, 0.1224, negative
1.5176, 12.9777, 3.5381, 1.2113, 73.002, 0.6521, 8.5289, 0.0, 0.0, negative
1.5221, 14.208, 3.821, 0.4698, 71.77, 0.1118, 9.5726, 0.0, 0.0, negative
1.5176, 13.39, 3.6593, 1.1888, 72.7892, 0.5713, 8.2706, 0.0, 0.0561, negative
1.5176, 13.1506, 3.61, 1.0508, 73.2372, 0.5713, 8.2384, 0.0, 0.0, negative
1.5191, 13.902, 3.7312, 1.1792, 72.1228, 0.0621, 8.8947, 0.0, 0.0, negative
1.5179, 13.2104, 3.4798, 1.4103, 72.638, 0.5899, 8.432, 0.0, 0.0, negative
1.519, 13.5829, 3.3495, 1.2305, 72.078, 0.5899, 8.9055, 0.0, 0.0, negative
1.5122, 12.991, 3.4708, 1.1214, 72.9796, 0.621, 8.346, 0.0, 0.1581, negative
1.5198, 13.8089, 3.5785, 1.3204, 71.7196, 0.118, 8.6688, 0.6898, 0.0, negative
1.5178, 12.6784, 3.6683, 1.1599, 73.1084, 0.6086, 8.701, 0.0, 0.0, negative
1.5172, 13.3767, 3.5022, 1.1503, 72.8508, 0.503, 8.432, 0.0, 0.0, negative
1.5221, 13.7292, 3.839, 0.7201, 71.7588, 0.1677, 9.7448, 0.0, 0.0, negative
1.5182, 12.8713, 3.4798, 1.2915, 72.9516, 0.6024, 8.432, 0.0, 0.0, negative
1.5192, 14.417, 3.5785, 1.3686, 72.078, 0.5589, 8.3029, 0.0, 0.0, negative
1.5176, 12.7981, 3.6593, 1.2691, 73.0076, 0.6024, 8.5612, 0.0, 0.0, negative
1.5175, 12.8115, 3.5696, 1.3493, 73.0188, 0.621, 8.5934, 0.0, 0.0, negative
1.5178, 12.6918, 3.5381, 1.3397, 72.9516, 0.5713, 8.7548, 0.0, 0.0, negative
1.5179, 12.7915, 3.5022, 1.1214, 73.03, 0.6396, 8.7656, 0.0, 0.0, negative
1.5184, 13.1373, 2.8422, 1.2787, 72.8508, 0.5527, 9.0669, 0.0, 0.0, negative
