@relation glass5
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.5159, 12.878, 3.4304, 1.4007, 73.282, 0.6893, 8.0447, 0.0, 0.1224, negative
1.5221, 14.208, 3.821, 0.4698, 71.77, 0.1118, 9.5726, 0.0, 0.0, negative
1.5222, 13.2104, 3.7716, 0.7908, 71.9884, 0.1304, 10.2452, 0.0, 0.0, negative
1.5176, 13.39, 3.6593, 1.1888, 72.7892, 0.5713, 8.2706, 0.0, 0.0561, negative
1.521, 13.6892, 3.592, 1.1214, 71.9604, 0.0869, 9.4004, 0.0, 0.0, negative
1.5179, 13.2104, 3.4798, 1.4103, 72.638, 0.5899, 8.432, 0.0, 0.0, negative
1.5122, 12.991, 3.4708, 1.1214, 72.9796, 0.621, 8.346, 0.0, 0.1581, negative
1.5176, 13.8887, 3.601, 1.3589, 72.7276, 0.4782, 7.8295, 0.0, 0.0, negative
1.5178, 12.6784, 3.6683, 1.1599, 73.1084, 0.6086, 8.701, 0.0, 0.0, negative
1.5172, 13.3767, 3.5022, 1.1503, 72.8508, 0.503, 8.432, 0.0, 0.0, negative
1.5175, 12.8381, 3.5022, 1.1406, 73.2708, 0.5589, 8.5504, 0.0, 0.0, negative
1.5221, 13.7292, 3.839, 0.7201, 71.7588, 0.1677, 9.7448, 0.0, 0.0, negative
1.5182, 12.8713, 3.4798, 1.2915, 72.9516, 0.6024, 8.432, 0.0, 0.0, negative
1.5192, 14.417, 3.5785, 1.3686, 72.078, 0.5589, 8.3029, 0.0, 0.0, negative
1.5175, 12.8115, 3.5696, 1.3493, 73.0188, 0.621, 8.5934, 0.0, 0.0, negative
1.5178, 12.6918, 3.5381, 1.3397, 72.9516, 0.5713, 8.7548, 0.0, 0.0, negative
1.5179, 12.7915, 3.5022, 1.1214, 73.03, 0.6396, 8.7656, 0.0, 0.0, negative
1.5184, 13.1373, 2.8422, 1.2787, 72.8508, 0.5527, 9.0669, 0.0, 0.0, negative
1.5215, 13.0509, 3.6504, 0.871, 72.218, 0.1925, 9.8524, 0.0, 0.0867, negative
1.516, 12.7915, 3.61, 1.6189, 72.9684, 0.6396, 8.0662, 0.0, 0.1326, negative
1.5173, 13.0176, 3.5381, 1.6896, 72.7276, 0.5403, 8.4428, 0.0, 0.0357, negative
1.5178, 12.8514, 3.4798, 1.2305, 72.9684, 0.6086, 8.5612, 0.0914, 0.1122, negative
1.5215, 13.0509, 3.6504, 0.871, 72.3188, 0.1925, 9.8524, 0.0, 0.0867, negative
1.5174, 13.2969, 3.601, 1.1406, 73.0916, 0.5775, 8.1738, 0.0, 0.0, negative
1.5191, 13.8887, 3.5291, 1.3204, 71.8092, 0.5092, 8.7764, 0.1103, 0.0, negative
1.5187, 13.1905, 3.372, 1.1792, 72.722, 0.5713, 8.8302, 0.0, 0.0816, negative
1.5217, 13.5097, 3.8614, 0.8806, 71.7924, 0.2298, 9.5403, 0.0, 0.0561, negative
1.5176, 12.9977, 3.601, 1.3589, 72.9908, 0.5713, 8.3998, 0.0, 0.0561, negative
1.5178, 13.7745, 3.4887, 1.2787, 72.862, 0.6024, 8.4858, 0.0, 0.0, negative
1.5175, 12.5721, 3.4708, 1.3814, 73.3884, 0.6024, 8.5504, 0.0, 0.0306, negative
1.5179, 12.7317, 3.4304, 1.1888, 72.9516, 0.621, 8.7548, 0.0, 0.153, negative
1.5232, 13.7225, 3.7222, 0.5115, 71.7476, 0.0869, 10.568, 0.0, 0.0816, negative
1.523, 13.3102, 3.5785, 0.8196, 71.9884, 0.118, 10.1752, 0.0, 0.0153, negative
1.521, 13.6427, 4.49, 1.0989, 71.7812, 0.0621, 8.7548, 0.0, 0.0, negative
1.5175, 12.8181, 3.5516, 1.4905, 72.75, 0.5403, 8.5181, 0.0, 0.0969, negative
1.5221, 14.208, 3.821, 0.4698, 71.77, 0.1118, 9.5726, 0.0, 0.0, negative
1.5193, 13.1972, 3.3316, 1.2787, 72.358, 0.6024, 9.1422, 0.0, 0.0561, negative
1.5162, 13.5297, 3.5516, 1.5387, 72.9908, 0.3912, 7.7757, 0.0, 0.0, negative
1.5176, 12.612, 3.592, 1.3108, 73.2876, 0.5775, 8.4966, 0.0, 0.0, negative
1.5177, 12.5587, 3.5202, 1.4296, 73.1476, 0.5713, 8.5396, 0.0, 0.0, negative
1.518, 12.7383, 3.4798, 1.3493, 72.9572, 0.6396, 8.6795, 0.0, 0.0, negative
1.5181, 13.4299, 2.8691, 1.1888, 72.8396, 0.5527, 9.0346, 0.0, 0.0, negative
1.5215, 13.1174, 3.5785, 0.8999, 72.2012, 0.2298, 9.8201, 0.0, 0.0816, negative
1.5174, 13.2703, 3.6189, 1.2402, 73.0804, 0.5527, 8.0662, 0.0, 0.0, negative
1.5175, 12.858, 3.5606, 1.2691, 73.2092, 0.5403, 8.3782, 0.0, 0.0867, negative
1.5174, 12.7782, 3.6189, 1.2915, 72.7892, 0.5899, 8.701, 0.0, 0.0, negative
1.5177, 12.6518, 3.5606, 1.3012, 73.0804, 0.6086, 8.6903, 0.0, 0.0714, negative
1.5176, 12.7117, 3.4214, 1.1984, 73.198, 0.5899, 8.6365, 0.0, 0.0, negative
1.5177, 12.4523, 2.712, 1.2915, 73.702, 0.5589, 9.0561, 0.0, 0.1224, negative
