@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
0.268, 1.352, 1.035, -0.332, 0.217, 0
1.567, 0.867, 1.3, 1.041, 0.559, 0
0.279, 0.99, 2.555, -0.738, 0.0, 0
0.307, 1.272, 2.656, -0.946, -0.467, 0
0.96, 0.712, -0.143, 0.091, -0.061, 0
2.941, 0.657, 1.493, -0.331, -0.123, 0
0.229, 1.748, 0.634, 0.259, 0.0, 0
1.404, 1.531, 0.476, 1.601, -0.424, 0
0.532, 1.963, -0.355, 0.191, -0.122, 0
0.807, 2.227, -0.556, -0.225, 0.161, 0
0.533, 2.581, -0.595, -0.227, -0.123, 0
0.533, 2.139, 0.629, 0.241, -0.1, 0
0.699, 2.295, 0.67, 0.403, -0.391, 0
0.619, 2.238, -0.417, -0.184, -0.125, 0
0.648, 2.479, 1.064, -0.317, 0.0, 0
1.669, 2.226, 0.545, 0.229, -0.139, 0
0.416, 1.689, 0.756, -0.252, -0.145, 0
0.06, 0.225, 0.119, 0.264, 0.912, 0
0.492, 2.604, -0.594, 0.313, -0.147, 0
1.312, 2.591, 0.874, 0.534, -0.175, 0
0.626, 2.317, 0.766, 0.411, -0.305, 0
3.386, -0.301, 0.136, -0.078, -0.055, 0
1.089, 1.423, -0.387, -0.123, 0.09, 0
0.27, 0.959, 1.687, 1.705, 0.0, 0
2.571, -0.235, 0.201, 0.137, -0.133, 0
0.912, 2.285, -0.449, -0.159, -0.099, 0
0.874, 3.03, -0.496, 0.243, 0.48, 0
0.466, 2.279, 1.825, 0.778, -0.253, 0
0.311, 1.493, 0.423, 0.304, -0.113, 0
1.712, 1.764, 0.375, 0.511, 0.589, 0
1.055, 1.185, 0.293, 0.182, -0.141, 0
0.577, 3.348, -0.621, -0.245, 0.0, 0
0.273, 2.018, 1.768, 0.697, 0.0, 0
0.423, 1.781, -0.696, 0.491, 1.106, 0
3.084, 0.782, -0.166, -0.088, -0.061, 0
0.82, 2.083, 0.492, 0.283, -0.19, 0
0.464, 1.792, 2.176, -0.517, -0.327, 0
1.093, 1.692, 0.445, -0.312, 1.608, 0
0.268, 2.164, 0.991, 0.63, 0.0, 0
1.168, 2.156, -0.289, -0.122, 0.109, 0
0.165, 1.031, 1.947, -0.544, -0.228, 0
1.607, 2.312, -0.381, 0.222, 0.163, 0
0.856, 1.875, 1.186, 0.366, 0.0, 0
0.556, 3.451, -0.597, -0.245, -0.153, 0
0.148, 0.777, 1.533, 1.672, 0.0, 0
0.58, 1.755, 1.087, 0.334, 0.0, 0
0.371, 2.324, -0.456, -0.168, -0.083, 0
0.832, 2.711, -0.639, 0.381, 0.0, 0
3.177, -0.275, -0.111, 0.09, -0.074, 0
0.341, 1.007, 2.908, -0.772, 0.391, 0
1.901, 0.502, 0.188, 0.151, -0.152, 0
0.42, 2.394, 1.358, 0.675, 0.0, 0
0.487, 2.467, -0.428, -0.213, -0.121, 0
1.197, 1.397, 0.353, 0.184, 0.119, 0
0.693, 1.713, -0.478, -0.221, -0.156, 0
1.371, 1.441, -0.287, 0.167, -0.171, 0
0.64, 2.462, 1.133, -0.335, 0.0, 0
0.508, 2.937, -0.498, 0.263, -0.159, 0
1.956, 1.328, 0.82, 0.451, -0.256, 0
0.352, 1.828, -0.377, -0.165, 0.0, 0
1.831, 2.751, -0.372, -0.169, -0.099, 0
2.389, 0.639, -0.107, 0.13, -0.053, 0
1.195, -0.837, -0.266, 0.144, -0.086, 0
0.551, 2.308, -0.517, -0.189, -0.122, 0
0.721, 0.502, 0.871, 2.022, -0.563, 0
0.861, 1.811, -0.291, 0.212, -0.256, 0
3.698, 0.437, -0.109, -0.082, -0.042, 0
1.118, 2.528, -0.347, -0.151, 0.189, 0
0.089, 0.616, 1.451, 1.569, 0.0, 0
0.079, 0.274, 0.403, 1.157, 1.638, 0
0.252, 2.498, -0.53, 0.347, -0.137, 0
0.398, 1.547, 1.228, 0.466, -0.268, 0
1.271, 1.743, -0.315, -0.404, 1.494, 0
1.235, 1.996, -0.359, 0.21, 0.141, 0
3.307, 0.503, -0.171, -0.156, 0.598, 0
0.336, 0.875, 2.576, 1.339, -0.557, 0
0.41, 1.009, 2.024, -0.555, -0.271, 0
2.075, 2.142, 0.539, 0.457, 0.301, 0
3.052, -0.233, 0.162, -0.078, -0.071, 0
0.338, 0.477, 1.821, 1.191, 0.997, 0
3.279, 0.547, 0.317, 0.463, 0.166, 0
1.312, 1.232, 0.433, 0.375, -0.391, 0
0.272, 1.776, 1.417, 0.504, -0.241, 0
0.772, 2.995, 0.945, -0.321, 0.204, 0
1.658, 1.367, -0.202, 0.14, 0.133, 0
0.131, 0.5, 1.297, 1.7, -0.536, 0
0.583, 3.025, 0.989, -0.302, -0.153, 0
0.73, 2.928, -0.496, -0.189, -0.133, 0
0.258, 1.379, 1.885, 0.799, 0.0, 0
2.095, 0.869, -0.134, 0.102, 0.103, 0
0.79, 2.192, -0.436, 0.264, -0.166, 0
1.923, 0.966, 0.365, 0.301, 1.151, 0
0.565, 3.345, -0.606, 0.751, -0.27, 0
0.453, 0.577, 1.37, 1.883, -0.557, 0
1.142, 1.867, -0.351, -0.161, -0.11, 0
0.538, 1.064, 1.516, -0.309, 0.187, 0
1.328, 1.955, -0.489, 0.2, 0.256, 0
0.144, 0.858, 2.303, -0.718, -0.535, 0
-0.145, 1.424, 1.738, -0.798, 0.0, 0
0.303, 1.426, 0.978, 0.327, 0.157, 0
0.388, 2.567, -0.429, -0.26, -0.127, 0
0.251, 1.067, 0.443, 0.472, 0.444, 0
1.247, 2.31, -0.321, -0.157, 0.245, 0
0.232, 1.298, 1.482, -0.482, -0.259, 0
0.614, 2.482, 1.234, 0.553, -0.184, 0
1.314, 2.129, -0.441, 0.434, 1.019, 0
0.249, 1.039, 3.199, -0.81, -0.372, 0
0.231, 1.566, 1.314, 0.474, -0.253, 0
2.822, 0.316, -0.097, 0.091, -0.062, 0
0.213, 1.448, 0.992, 0.338, 0.0, 0
0.249, 1.297, 2.72, -0.722, -0.384, 0
0.675, 2.061, 0.701, 0.248, -0.121, 0
0.324, 1.276, 0.55, 0.378, 0.385, 0
1.026, 2.185, -0.539, 0.206, 0.252, 0
0.472, 2.321, 1.722, 0.716, -0.3, 0
2.153, 1.127, 0.359, -0.105, -0.062, 0
-0.164, 1.49, 1.931, 0.699, 0.0, 0
0.648, 0.484, 0.776, 1.913, -0.599, 0
0.303, 2.016, -0.448, 0.305, -0.123, 0
0.184, 0.425, 0.952, 2.461, -0.845, 0
-0.993, -0.805, -0.294, -0.151, -0.112, 0
0.24, 1.068, 2.387, -0.747, -0.297, 0
0.343, 1.708, 0.602, 0.25, 0.138, 0
2.469, 0.32, 0.113, 0.082, 0.063, 0
2.307, 1.995, -0.279, -0.144, -0.087, 0
0.19, 0.987, 2.322, -0.656, -0.279, 0
0.607, 2.773, -0.348, -0.168, 0.145, 0
1.16, 1.236, -0.238, -0.093, -0.058, 0
1.287, 2.039, -0.425, -0.476, 1.222, 0
2.586, 0.614, 0.19, 0.162, 0.101, 0
0.692, 1.18, 1.666, 0.683, -0.224, 0
0.797, 2.197, -0.479, -0.19, 0.0, 0
0.235, 0.527, 0.381, 0.925, 0.949, 0
0.152, 0.631, 1.342, 2.041, 0.0, 0
2.534, 0.387, 0.641, 1.019, -0.339, 0
0.642, 2.074, -0.419, -0.181, -0.104, 0
2.531, 0.387, 0.64, 1.019, -0.337, 0
1.488, 1.97, 0.515, 1.191, -0.329, 0
1.022, 1.607, -0.248, -0.109, 0.11, 0
2.01, 1.07, 0.359, -0.085, -0.051, 0
1.127, 2.254, -0.299, 0.172, -0.16, 0
2.673, 0.831, 1.16, -0.308, -0.124, 0
0.629, 2.673, 1.008, 0.403, -0.177, 0
1.576, 1.608, -0.304, -0.121, 0.108, 0
0.227, 1.064, 2.302, 1.11, -0.354, 0
0.259, 1.413, 0.988, -0.348, 0.246, 0
2.102, 0.355, -0.092, 0.095, -0.047, 0
0.075, 0.376, 0.311, 0.424, 0.0, 0
0.296, 1.138, 2.518, -0.974, 0.0, 0
0.216, 1.593, 1.12, 0.516, 0.0, 0
0.599, 2.53, -0.481, -0.343, 1.107, 0
0.58, 3.373, -0.566, -0.245, -0.146, 0
3.223, 0.698, -0.13, -0.061, -0.046, 0
0.159, 0.378, 0.46, -0.601, 1.794, 0
1.222, 1.182, -0.186, -0.099, -0.054, 0
2.416, 0.88, -0.137, 0.094, -0.035, 0
1.176, 2.074, -0.336, 0.254, -0.135, 0
0.745, 2.821, -0.503, -0.249, 0.884, 0
2.918, 0.994, 0.745, -0.148, -0.079, 0
1.029, 1.893, 0.658, -0.432, 1.155, 0
1.408, 1.792, -0.344, -0.124, -0.081, 0
3.079, 0.491, -0.124, -0.084, 0.071, 0
2.676, 0.308, 0.45, 0.983, -0.226, 0
